"PL-ID","Status","Score","Seed-EX","Source","Difficulty","Flags"
"PL-078","auto-validated","8","EX-034","corpus/inw/book1/ch06_v5.1.md","4","credit-close"
"PL-081","auto-validated","8","EX-037","corpus/inw/book1/ch07_v5.1.md","2","credit-close"
"PL-082","auto-validated","8","EX-037","corpus/inw/book1/ch07_v5.1.md","4","credit-close"
"PL-083","auto-validated","8","EX-038","corpus/inw/book1/ch07_v5.1.md","2","credit-close"
"PL-086","auto-validated","8","EX-039","corpus/inw/book1/ch07_v5.1.md","4","credit-close"
"PL-091","auto-validated","8","EX-043","corpus/inw/book1/ch08_v5.1.md","3","credit-close"
"PL-092","auto-validated","8","EX-043","corpus/inw/book1/ch08_v5.1.md","5","credit-close"
"PL-093","auto-validated","8","EX-044","corpus/inw/book1/ch08_v5.1.md","3","credit-close"
"PL-096","auto-validated","8","EX-045","corpus/inw/book1/ch08_v5.1.md","4","credit-close"
"PL-097","auto-validated","8","EX-047","corpus/inw/book1/ch09_v5.1.md","3","credit-close"
"PL-101","auto-validated","8","EX-052","corpus/inw/book1/ch10_v5.1.md","2","credit-close"
"PL-103","auto-validated","8","EX-054","corpus/inw/book1/ch10_v5.1.md","3","credit-close"
"PL-105","auto-validated","8","EX-057","corpus/inw/book1/ch11_v5.1.md","2","credit-close"
"PL-106","auto-validated","8","EX-057","corpus/inw/book1/ch11_v5.1.md","4","credit-close"
"PL-107","auto-validated","8","EX-061","corpus/inw/book1/ch12_v5.1.md","1","credit-close"
"PL-108","auto-validated","8","EX-061","corpus/inw/book1/ch12_v5.1.md","3","credit-close"
"PL-110","auto-validated","8","EX-062","corpus/inw/book1/ch12_v5.1.md","2","credit-close"
"PL-112","auto-validated","8","EX-065","corpus/inw/book1/ch12_v5.1.md","4","credit-close"
"PL-113","auto-validated","8","EX-067","corpus/inw/book2/ch01_v3.5.md","2","credit-close"
"PL-114","auto-validated","8","EX-067","corpus/inw/book2/ch01_v3.5.md","4","credit-close"
"PL-116","auto-validated","8","EX-072","corpus/inw/book2/ch04_v3.5.md","4","credit-close"
"PL-120","auto-validated","8","EX-078","corpus/inw/book2/ch11_v3.5.md","4","credit-close"
"PL-123","auto-validated","8","EX-082","corpus/inw/book2/ch13_v3.5.md","3","credit-close"
"PL-132","auto-validated","8","EX-102","data/sankhya-text/sankhya_modern_physics_bridge_v2.8.txt","5","credit-close"
"PL-134","auto-validated","8","EX-104","data/sankhya-text/sankhya_modern_physics_bridge_v2.8.txt","5","credit-close"
"PL-135","auto-validated","8","EX-106","data/discovery-zone-text/discoveryzone.txt","2","credit-close"
"PL-136","auto-validated","8","EX-106","data/discovery-zone-text/discoveryzone.txt","4","credit-close"
"PL-140","auto-validated","8","EX-122","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","4","credit-close"
"PL-146","auto-validated","8","EX-131","corpus/inw/book1/ch12_v5.1.md","4","credit-close"
"PL-147","auto-validated","8","EX-133","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3","credit-close"
"PL-150","auto-validated","8","EX-137","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","5","credit-close"
"PL-157","auto-validated","8","EX-147","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3","credit-close"
"PL-159","auto-validated","8","EX-150","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2","credit-close"
"PL-160","auto-validated","8","EX-150","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","4","credit-close"
"PL-161","auto-validated","8","EX-181","corpus/inw/book2/ch13_v3.5.md","3","credit-close"
"PL-163","auto-validated","8","EX-183","corpus/inw/book2/ch05_v3.5.md","2","credit-close"
"PL-165","auto-validated","8","EX-187","corpus/inw/book2/ch12_v3.5.md","4","credit-close"
"PL-166","auto-validated","8","EX-199","corpus/inw/book2/ch07_v3.5.md","4","credit-close"
"PL-167","auto-validated","8","EX-203","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2","credit-close"
"PL-168","auto-validated","8","EX-204","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2","credit-close"
"PL-172","auto-validated","8","EX-208","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3","credit-close"
"PL-174","auto-validated","8","EX-217","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","1","credit-close"
"PL-175","auto-validated","8","EX-218","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2","credit-close"
"PL-177","auto-validated","8","EX-232","corpus/inw/book1/ch11_v5.1.md","3","credit-close"
"PL-178","auto-validated","8","EX-003","corpus/inw/book1/ch01_v5.1.md","1","credit-close"
"PL-181","auto-validated","8","EX-031","corpus/inw/book1/ch06_v5.1.md","2","credit-close"
"PL-182","auto-validated","8","EX-036","corpus/inw/book1/ch07_v5.1.md","1","credit-close"
"PL-183","auto-validated","8","EX-041","corpus/inw/book1/ch08_v5.1.md","2","credit-close"
"PL-001","auto-validated","9","EX-001","corpus/inw/book1/ch01_v5.1.md","2","grounding-partial"
"PL-003","auto-validated","9","EX-005","corpus/inw/book1/ch01_v5.1.md","3","grounding-partial"
"PL-007","auto-validated","9","EX-016","corpus/inw/book1/ch03_v5.1.md","2","grounding-partial"
"PL-008","auto-validated","9","EX-021","corpus/inw/book1/ch04_v5.1.md","2","grounding-partial"
"PL-028","auto-validated","9","EX-080","corpus/inw/book2/ch12_v3.5.md","3","grounding-partial"
"PL-029","auto-validated","9","EX-084","corpus/inw/book2/ch14_v3.5.md","2","grounding-partial"
"PL-034","auto-validated","9","EX-096","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2","grounding-partial"
"PL-037","auto-validated","9","EX-108","data/discovery-zone-text/discoveryzone.txt","2","grounding-partial"
"PL-038","auto-validated","9","EX-111","data/discovery-zone-text/thinking_lab_collection.txt","2","grounding-partial"
"PL-042","auto-validated","9","EX-121","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3","grounding-partial"
"PL-047","auto-validated","9","EX-151","corpus/inw/book2/ch01_v3.5.md","3","grounding-partial"
"PL-049","auto-validated","9","EX-156","corpus/inw/book2/ch03_v3.5.md","3","grounding-partial"
"PL-050","auto-validated","9","EX-157","corpus/inw/book2/ch04_v3.5.md","3","grounding-partial"
"PL-051","auto-validated","9","EX-160","corpus/inw/book2/ch06_v3.5.md","3","grounding-partial"
"PL-054","auto-validated","9","EX-168","corpus/inw/book2/ch05_v3.5.md","3","grounding-partial"
"PL-002","auto-validated","10","EX-003","corpus/inw/book1/ch01_v5.1.md","2",""
"PL-010","auto-validated","10","EX-026","corpus/inw/book1/ch05_v5.1.md","2",""
"PL-011","auto-validated","10","EX-027","corpus/inw/book1/ch05_v5.1.md","3",""
"PL-012","auto-validated","10","EX-031","corpus/inw/book1/ch06_v5.1.md","2",""
"PL-013","auto-validated","10","EX-036","corpus/inw/book1/ch07_v5.1.md","2",""
"PL-014","auto-validated","10","EX-041","corpus/inw/book1/ch08_v5.1.md","2",""
"PL-015","auto-validated","10","EX-046","corpus/inw/book1/ch09_v5.1.md","2",""
"PL-016","auto-validated","10","EX-051","corpus/inw/book1/ch10_v5.1.md","2",""
"PL-017","auto-validated","10","EX-053","corpus/inw/book1/ch10_v5.1.md","3",""
"PL-018","auto-validated","10","EX-055","corpus/inw/book1/ch10_v5.1.md","3",""
"PL-021","auto-validated","10","EX-063","corpus/inw/book1/ch12_v5.1.md","2",""
"PL-022","auto-validated","10","EX-066","corpus/inw/book2/ch01_v3.5.md","2",""
"PL-023","auto-validated","10","EX-068","corpus/inw/book2/ch02_v3.5.md","3",""
"PL-025","auto-validated","10","EX-070","corpus/inw/book2/ch03_v3.5.md","3",""
"PL-026","auto-validated","10","EX-071","corpus/inw/book2/ch04_v3.5.md","2",""
"PL-027","auto-validated","10","EX-074","corpus/inw/book2/ch07_v3.5.md","2",""
"PL-030","auto-validated","10","EX-086","corpus/inw/book2/ch05_v3.5.md","2",""
"PL-031","auto-validated","10","EX-090","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2",""
"PL-032","auto-validated","10","EX-092","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3",""
"PL-033","auto-validated","10","EX-094","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2",""
"PL-040","auto-validated","10","EX-117","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3",""
"PL-046","auto-validated","10","EX-129","corpus/inw/book1/ch07_v5.1.md","2",""
"PL-059","auto-validated","10","EX-216","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2",""
"PL-061","auto-validated","10","EX-004","corpus/inw/book1/ch01_v5.1.md","1",""
"PL-062","auto-validated","10","EX-004","corpus/inw/book1/ch01_v5.1.md","3",""
"PL-063","auto-validated","10","EX-006","corpus/inw/book1/ch01_v5.1.md","1",""
"PL-064","auto-validated","10","EX-006","corpus/inw/book1/ch01_v5.1.md","2",""
"PL-065","auto-validated","10","EX-008","corpus/inw/book1/ch01_v5.1.md","2",""
"PL-066","auto-validated","10","EX-008","corpus/inw/book1/ch01_v5.1.md","4",""
"PL-067","auto-validated","10","EX-019","corpus/inw/book1/ch03_v5.1.md","1",""
"PL-068","auto-validated","10","EX-019","corpus/inw/book1/ch03_v5.1.md","3",""
"PL-069","auto-validated","10","EX-029","corpus/inw/book1/ch05_v5.1.md","2",""
"PL-071","auto-validated","10","EX-030","corpus/inw/book1/ch05_v5.1.md","1",""
"PL-187","auto-validated","10","EX-055","corpus/inw/book1/ch10_v5.1.md","2",""
"PL-191","auto-validated","10","EX-070","corpus/inw/book2/ch03_v3.5.md","2",""
"PL-192","auto-validated","10","EX-071","corpus/inw/book2/ch04_v3.5.md","2",""
"PL-193","auto-validated","10","EX-074","corpus/inw/book2/ch07_v3.5.md","2",""
"PL-194","auto-validated","10","EX-086","corpus/inw/book2/ch05_v3.5.md","3",""
"PL-198","auto-validated","10","EX-117","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2",""
"PL-199","auto-validated","10","EX-129","corpus/inw/book1/ch07_v5.1.md","2",""
"PL-200","auto-validated","10","EX-216","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2",""
"PL-077","auto-validated","10","EX-034","corpus/inw/book1/ch06_v5.1.md","2",""
"PL-079","auto-validated","10","EX-035","corpus/inw/book1/ch06_v5.1.md","2",""
"PL-080","auto-validated","10","EX-035","corpus/inw/book1/ch06_v5.1.md","4",""
"PL-084","auto-validated","10","EX-038","corpus/inw/book1/ch07_v5.1.md","4",""
"PL-085","auto-validated","10","EX-039","corpus/inw/book1/ch07_v5.1.md","3",""
"PL-087","auto-validated","10","EX-040","corpus/inw/book1/ch07_v5.1.md","2",""
"PL-088","auto-validated","10","EX-040","corpus/inw/book1/ch07_v5.1.md","4",""
"PL-089","auto-validated","10","EX-042","corpus/inw/book1/ch08_v5.1.md","3",""
"PL-090","auto-validated","10","EX-042","corpus/inw/book1/ch08_v5.1.md","5",""
"PL-094","auto-validated","10","EX-044","corpus/inw/book1/ch08_v5.1.md","5",""
"PL-095","auto-validated","10","EX-045","corpus/inw/book1/ch08_v5.1.md","2",""
"PL-098","auto-validated","10","EX-047","corpus/inw/book1/ch09_v5.1.md","4",""
"PL-099","auto-validated","10","EX-048","corpus/inw/book1/ch09_v5.1.md","2",""
"PL-100","auto-validated","10","EX-048","corpus/inw/book1/ch09_v5.1.md","3",""
"PL-102","auto-validated","10","EX-052","corpus/inw/book1/ch10_v5.1.md","3",""
"PL-104","auto-validated","10","EX-054","corpus/inw/book1/ch10_v5.1.md","5",""
"PL-109","auto-validated","10","EX-062","corpus/inw/book1/ch12_v5.1.md","1",""
"PL-111","auto-validated","10","EX-065","corpus/inw/book1/ch12_v5.1.md","2",""
"PL-115","auto-validated","10","EX-072","corpus/inw/book2/ch04_v3.5.md","3",""
"PL-117","auto-validated","10","EX-073","corpus/inw/book2/ch06_v3.5.md","3",""
"PL-118","auto-validated","10","EX-073","corpus/inw/book2/ch06_v3.5.md","5",""
"PL-119","auto-validated","10","EX-078","corpus/inw/book2/ch11_v3.5.md","2",""
"PL-121","auto-validated","10","EX-081","corpus/inw/book2/ch12_v3.5.md","3",""
"PL-122","auto-validated","10","EX-081","corpus/inw/book2/ch12_v3.5.md","5",""
"PL-124","auto-validated","10","EX-082","corpus/inw/book2/ch13_v3.5.md","5",""
"PL-125","auto-validated","10","EX-095","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3",""
"PL-126","auto-validated","10","EX-095","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","5",""
"PL-127","auto-validated","10","EX-098","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3",""
"PL-128","auto-validated","10","EX-098","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","5",""
"PL-129","auto-validated","10","EX-099","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3",""
"PL-130","auto-validated","10","EX-099","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","5",""
"PL-131","auto-validated","10","EX-102","data/sankhya-text/sankhya_modern_physics_bridge_v2.8.txt","3",""
"PL-133","auto-validated","10","EX-104","data/sankhya-text/sankhya_modern_physics_bridge_v2.8.txt","3",""
"PL-137","auto-validated","10","EX-118","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3",""
"PL-138","auto-validated","10","EX-118","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","4",""
"PL-139","auto-validated","10","EX-122","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","2",""
"PL-141","auto-validated","10","EX-128","corpus/inw/book1/ch07_v5.1.md","2",""
"PL-142","auto-validated","10","EX-128","corpus/inw/book1/ch07_v5.1.md","4",""
"PL-143","auto-validated","10","EX-130","corpus/inw/book1/ch09_v5.1.md","2",""
"PL-144","auto-validated","10","EX-130","corpus/inw/book1/ch09_v5.1.md","4",""
"PL-145","auto-validated","10","EX-131","corpus/inw/book1/ch12_v5.1.md","2",""
"PL-148","auto-validated","10","EX-133","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","4",""
"PL-149","auto-validated","10","EX-137","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3",""
"PL-151","auto-validated","10","EX-138","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3",""
"PL-152","auto-validated","10","EX-138","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","5",""
"PL-153","auto-validated","10","EX-140","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3",""
"PL-154","auto-validated","10","EX-140","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","5",""
"PL-155","auto-validated","10","EX-141","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3",""
"PL-156","auto-validated","10","EX-141","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","5",""
"PL-158","auto-validated","10","EX-147","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","5",""
"PL-162","auto-validated","10","EX-181","corpus/inw/book2/ch13_v3.5.md","5",""
"PL-164","auto-validated","10","EX-183","corpus/inw/book2/ch05_v3.5.md","4",""
"PL-169","auto-validated","10","EX-205","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","1",""
"PL-170","auto-validated","10","EX-206","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3",""
"PL-171","auto-validated","10","EX-207","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3",""
"PL-173","auto-validated","10","EX-210","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","3",""
"PL-176","auto-validated","10","EX-225","data/sankhya-text/SANKHYA_SCIENCE_REFERENCE_GUIDE_v2.4.txt","5",""
"PL-179","auto-validated","10","EX-026","corpus/inw/book1/ch05_v5.1.md","1",""
"PL-180","auto-validated","10","EX-027","corpus/inw/book1/ch05_v5.1.md","2",""
"PL-184","auto-validated","10","EX-046","corpus/inw/book1/ch09_v5.1.md","2",""
"PL-185","auto-validated","10","EX-051","corpus/inw/book1/ch10_v5.1.md","2",""
"PL-186","auto-validated","10","EX-053","corpus/inw/book1/ch10_v5.1.md","2",""
"PL-006","rejected-structural","8","EX-013","corpus/inw/book1/ch02_v5.1.md","5","no-quotes-parsed;grounding-partial"
"PL-009","rejected-structural","8","EX-023","corpus/inw/book1/ch04_v5.1.md","2","no-quotes-parsed;grounding-partial"
